id,code,name,right_type,client_responsible,interval,reason_code,app_type_id/id,office_code
edi_ace_errand.errand_s20,s20,eAS Info Prog Ut,Stark,,1,28,,
edi_ace_errand.errand_s21,s21,eAS InfoStartEge,Stark,,1,28,,
edi_ace_errand.errand_s22,s22,eAS Övrig Servic,Stark,,1,28,,
edi_ace_errand.errand_s23,s23,eAS AktivitetsRa,Stark,,1,28,,
edi_ace_errand.errand_s24,s24,eAS FörhindAvbok,Stark,,1,28,,
edi_ace_errand.errand_s25,s25,eAS InfoPågProgU,Stark,,1,28,,
edi_ace_errand.errand_s26,s26,eAS BokaBeslResa,Stark,,1,28,,
edi_ace_errand.errand_s27,s27,eAS ErsättningRe,Stark,,1,28,,
edi_ace_errand.errand_s28,s28,eAS InfoErsättni,Stark,,1,28,,
edi_ace_errand.errand_s29,s29,eAS Sanktion,Stark,,1,28,,
edi_ace_errand.errand_s3,s3,AS InfoStartEget,Stark,,1,28,,
edi_ace_errand.errand_s30,s30,eAS Återbet Skul,Stark,,1,28,,
edi_ace_errand.errand_s33,s33,eAS Synpunkt,,,,,,
edi_ace_errand.errand_s34,s34,eAS Övrigt,,,,,,
edi_ace_errand.errand_s35,s35,eAS VXL,,,,,,
edi_ace_errand.errand_s36,s36,Orienterande VGL,Stark,,1,28,,
edi_ace_errand.errand_s37,s37,AS SSC,Stark,,1,28,,
edi_ace_errand.errand_s38,s38,AS Ink Uppföljn,Stark,,1,28,,
edi_ace_errand.errand_s39,s39,AS Varsel,Stark,,1,28,,
edi_ace_errand.errand_s4,s4,AS Övrig Service,,,,,,
edi_ace_errand.errand_s5,s5,AS AktivitetsRap,Stark,,1,28,,
edi_ace_errand.errand_s6,s6,AS FörhindAvboka,Stark,,1,28,,
edi_ace_errand.errand_s7,s7,AS InfoPågProgUt,Stark,,1,28,,
edi_ace_errand.errand_s8,s8,AS BokaBeslResa,Stark,,1,28,,
edi_ace_errand.errand_s9,s9,AS ErsättningRes,Stark,,1,28,,
edi_ace_errand.errand_T90,T90,Boka Möte AL,Stark,,1,28,,
edi_ace_errand.errand_T99,T99,TeliaTest_T99,Stark,,1,28,,
edi_ace_errand.errand_u01,u01,Utbildning1_11,,,,,,
edi_ace_errand.errand_u02,u02,Utbildning1_12,,,,,,
edi_ace_errand.errand_u03,u03,Utbildning1_21,,,,,,
edi_ace_errand.errand_u04,u04,Utbildning1_22,,,,,,
edi_ace_errand.errand_u05,u05,Utbildning2_11,,,,,,
edi_ace_errand.errand_u06,u06,Utbildning2_12,,,,,,
edi_ace_errand.errand_u07,u07,Utbildning2_21,,,,,,
edi_ace_errand.errand_u08,u08,Utbildning2_22,,,,,,
edi_ace_errand.errand_u23,u23,Utbildning epost,,,,,,
edi_ace_errand.errand_u24,u24,Utbildning chatt,,,,,,
edi_ace_errand.errand_W01,W01,Uppföl Plan KROM,Mycket Stark,,1,29,calendar_meeting_type.type_25,0248
edi_ace_errand.errand_W02,W02,Bed åt JOB KROM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W03,W03,Bed åt UGA KROM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W04,W04,Besl åt JOB KROM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W05,W05,Besl åt UGA KROM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W06,W06,Val FA KROM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W07,W07,Avaktualisera AF,Mycket Stark,,1,29,,
edi_ace_errand.errand_W08,W08,K_Uppf_Villkor,Mycket Stark,,1,29,,
edi_ace_errand.errand_W09,W09,K_Uppf_Ej_Villk,Mycket Stark,,1,29,,
edi_ace_errand.errand_W10,W10,K_Kompl_A-kassa,Mycket Stark,,1,29,,
edi_ace_errand.errand_W11,W11,K_Miss_möte,Mycket Stark,,1,29,,
edi_ace_errand.errand_W12,W12,K_Ej_Närvaro,Mycket Stark,,1,29,,
edi_ace_errand.errand_W13,W13,K_Ej_ArbSök,Mycket Stark,,1,29,,
edi_ace_errand.errand_W14,W14,K_Ej_Planering,Mycket Stark,,1,29,,
edi_ace_errand.errand_W15,W15,K_Övrigt,,,,,,
edi_ace_errand.errand_W16,W16,K_Auto_Miss_möte,Mycket Stark,,1,29,,
edi_ace_errand.errand_W17,W17,K_Avvikelse_Lev,Mycket Stark,,1,29,,
edi_ace_errand.errand_W18,W18,K_Stickprov,Stark,,1,28,,
edi_ace_errand.errand_W19,W19,K_Aktivitetsrapp,Stark,,1,28,,
edi_ace_errand.errand_W20,W20,K_Aut_Kont_Villk,Stark,,1,28,,
edi_ace_errand.errand_W21,W21,UtbildningWI,,,,,,
edi_ace_errand.errand_W22,W22,UtbildningVLWI,,,,,,
edi_ace_errand.errand_v23,v23,Utbildning23,,,,,,
edi_ace_errand.errand_W23,W23,Bed åt JOB STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_v24,v24,Utbildning24,,,,,,
edi_ace_errand.errand_W24,W24,Bed åt UGA STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W25,W25,Besl åt JOB STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W26,W26,Besl åt UGA STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W27,W27,Första Plan STOM,Mycket Stark,True,365,29,calendar_meeting_type.type_26,0248
edi_ace_errand.errand_W28,W28,Uppföl Plan STOM,Mycket Stark,,1,29,calendar_meeting_type.type_27,0248
edi_ace_errand.errand_W29,W29,Val AF STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W30,W30,Val FA KROM Klar,Mycket Stark,,1,29,,
edi_ace_errand.errand_W31,W31,GemensamP_STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W32,W32,Informativ_STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W33,W33,Periodisk STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W34,W34,Resultat1 STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W35,W35,Resultat2 STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_W36,W36,Slutred_STOM,Mycket Stark,,1,29,,
edi_ace_errand.errand_v44,v44,Fakturafrågor,Stark,,1,28,,
edi_ace_errand.errand_v45,v45,Programfrågor,Stark,,1,28,,
